Name,Description,Action,Uses,Chief Ingredient,Ingredients,Preparation,Dose
Zeher mohra,"Its name is due to its Ingredient Gaozaban (Borage officinalis),Amber (Ambra
						grasea) and Jawahrat (Precious Stones).",,,"Gaozaban (Borage officinalis), Amber (Ambra grasea) and Jawahrat (Precious
						Stones)","Gaozaban (Borage officinalis flower), 20 gm; Kashneez (Coriandrum sativum fruit), 10 gm; Abresham (Bombax mori cocoon), 10 gm; Behman safed (Centaurea behen root), 10 gm; Sandal safed (Santalum album wood), 10 gm; Tukhme Balanga (Lallemantia royleana seed), 10 gm; Tukhme Franjmishk (Ocymum gratissimum seed), 10 gm; Water (), 2 litre; Sugar (), 1 kg; Asl (Honey), 250 gm; Amber (Ambra grasea secretion), 5 gm; Verq Tila (Gold leaf), 5 gm; Marvareed (Mytilus margaritiferus pearl), 4 gm; Yaqoot (Ruby), 4 gm; Zamarrud (Emerald), 4 gm; Zeher mohra (Serpentine), 4 gm","Soak Gaozaban (Borage officinalis flower), Kashneez (Coriandrum sativum
						fruit), Abresham (Bombax mori cocoon), Behman safed (Centaurea behen root),
						Sandal safed (Santalum album wood), Tukhme Balanga (Lallemantia royleana
						seed), Tukhme Franjmishk (Ocymum gratissimum seed) in water till water
						remains half, rub and filter. Add Sugar and Asl (Honey) in filtrate and
						prepare Qiwam (Basic Solution of Particular consistency). Make solution of
						Amber (Ambra grasea secretion) and add in Qiwam (Basic Solution of
						Particular consistency). Add Verq Tila (Gold leaf), Powder of Marvareed
						(Mytilus margaritiferus pearl), Yaqoot (Ruby), Zamarrud (Emerald), Zeher
						mohra (Serpentine). Triturate it till it become white.","3-5
						gm with Arq Gaozaban 125
						ml"
Ood Saleeb,"Its name is due to its Ingredient Gaozaban (Borage officinalis), Amber
						(Ambra grasea secretion), Jadwar (Delphinium denudatum root) and Ood Saleeb
						(Paonea officinalis root)",,,"Gaozaban (Borage officinalis), Jadwar (Delphinium denudatum root) and Ood
						Saleeb (Paonea officinalis root)","Berg Gaozaban (Borage officinalis leaf), 30 gm; Gule Gaozaban (Borage officinalis flower), 10 gm; Kashneez Khushk (Coriandrum sativum fruit), 10 gm; Abresham (Bombax mori cocoon), 10 gm; Behman safed (Centaurea behen root), 10 gm; Sandal safed (Santalum album wood), 10 gm; Tukhme Balanga (Lallemantia royleana seed), 10 gm; Tukhme Franjmishk (Ocymum gratissimum seed), 10 gm; Badranjboya (Melissa parviflora herb), 10 gm; Ustokhuddus (Lavandula stoechas flower), 10 gm; Toodri Surkh (Cherianthus cheiri seed), 10 gm; Toodri Safed (Lepidium iberis seed), 10 gm; Water (), 2 litre; Sugar (), 1 kg; Asl (Honey), 250 gm; Amber (Ambra grasea secretion), 2 gm; Verq Tila (Gold leaf), 6 gm; Verq Nuqra (Silver leaf), 6 gm; Jadwar (Delphinium denudatum root), 10 gm; Ood Saleeb (Paonea officinalis root), 10 gm","Soak Berg Gaozaban (Borage officinalis leaf), Gule Gaozaban (Borage
						officinalis flower), Kashneez Khushk (Coriandrum sativum dried fruit),
						Abresham (Bombax mori cocoon), Behman safed (Centaurea behen root), Sandal
						safed (Santalum album wood), Tukhme Balanga (Lallemantia royleana seed),
						Tukhme Franjmishk (Ocymum gratissimum seed), Badranjboya (Melissa parviflora
						herb), Ustokhuddus (Lavandula stoechas flower), Toodri Surkh (Cherianthus
						cheiri seed), Toodri Safed (Lepidium iberis seed) in water at night and boil
						them in the morning till water remains half. Rub and filter it. Add sugar
						and Asl (Honey) and make Qiwam (Basic Solution of Particular consistency).
						Lastly add Amber, Verq Nuqra (Silver leaf), Verq Tila (Gold Leaf), powder of
						Jadwar (Delphinium denudatum root) and Powder of Ood Saleeb (Paonea
						officinalis root). Triturate it, as it becomes white.","3-5
						gm with Arq Gaozaban 125
						ml"
Asl,Its name is due to its Ingredient Gaozaban (Borage officinalis),,,Gaozaban (Borage officinalis),"Berg Gaozaban (Borage officinalis leaf), 30 gm; Gule Gaozaban (Borage officinalis flower), 10 gm; Kashneez (Coriandrum sativum fruit), 10 gm; Abresham (Bombax mori cocoon), 10 gm; Behman surkh (Salvia heamatodes root), 10 gm; Behman safed (Centaurea behen root), 10 gm; Sandal safed (Santalum album wood), 10 gm; Tukhme Balanga (Lallemantia royleana seed), 10 gm; Tukhme Franjmishk (Ocymum gratissimum seed), 10 gm; Badranjboya (Melissa parviflora herb), 10 gm; Water (), 2 litre; Sugar (), 1 kg; Asl (Honey), 250 gm","Soak Berg Gaozaban (Borage officinalis leaf), Gule Gaozaban (Borage
						officinalis flower), Kashneez (Coriandrum sativum fruit), Abresham (Bombax
						mori cocoon), Behman surkh (Salvia heamatodes root), Behman safed (Centaurea
						behen root), Sandal safed (Santalum album wood), Tukhme Balanga (Lallemantia
						royleana seed), Tukhme Franjmishk (Ocymum gratissimum seed),Badranjboya
						(Melissa parviflora herb) in water till it remains half, rub and filter. Add
						sugar and Asl (Honey) in filtrate and make Qiwam (Basic Solution of
						Particular consistency). Triturate it, till it become white.","5-10
						gm with Arq Gaozaban 125
						ml"
Sugar,"Its name is due to its ingredient Khashkhash (Papaver somniferum capsule).
						Its life is two years.",,,Khashkhash (Papaver somniferum capsule),"Koknar Musallam (), 100 ; Distilled water (), 2 1/2 litre; Sugar (), 1 1/2 kg","Crush the Koknar (Papaver somniferum capsule) and take out seed. Make powder
						of seed. Boil Post Koknar (Papaver somniferum capsule) and seed in water.
						Filter it and add Sugar and prepare Qiwam (Basic Solution of Particular
						consistency). Triturate it, till it become white.","5-10
						gm with Arq Gaozaban 125
						ml"
Sugar,Its name is due to its Ingredient Marvareed (Mytilus margaritiferus pearl),,,Marvareed (Mytilus margaritiferus pearl),"Marvareed (Mytilus margaritiferus pearl), 4 gm; Kehruba (Vateria indica gum), 3 gm; Tabasheer (Bambusa arundinasia dried exudate on node), 3 gm; Yashb (Jade), 3 gm; Zeher mohra (Serpentine), 3 gm; Sandal safed (Santalum album wood), 3 gm; Sherbat Seb (), 60 ml; Sherbat Anar (), 60 ml; Sherbat Behi (), 60 ml; Verq Nuqra (Silver leaf), 3 gm; Sugar (), 150 gm","Make powder of drugs. Make Qiwam (Basic Solution of Particular consistency)
						of sherbet and Sugar. Add Verq Nuqra (Silver leaf). Triturate it till it
						become white.","3-5
						gm with Arq Gaozaban 125
						ml."
Sugar,Its name is due to its Ingredient Sandal safed (Santalum album wood),,,Sandal safed (Santalum album wood),"Burada Sandal safed (Santalum album wood), 75 gm; Arq Gulab (), 500 ml; Sugar (), 1 kg","Soak Burada Sandal safed (Santalum album wood) in Arq Gulab at night. Boil
						it in the morning. Filter it and add Sugar and make Qiwam (Basic Solution of
						Particular consistency). Triturate it till it become white.","5-10
						gm withArq Gaozaban 125
						ml"
Arq Gulab,,,,Jawahrat (Precious stones),"Kafoor (Cinnamomum camphora dried extract), 1 gm; Namak (Sodium chloride), 15 gm; Qaranfal (Caryophyllus aromatica bud), 15 gm; Ushna (Usnea longissima), 20 gm; Namak Indrani (), 20 gm; Sazij Hindi (Cinnamomum obtusifolium leaf), 20 gm; Safeda (Plumbi carbonas), 20 gm; Filfil Siyah (Piper nigrum fruit), 20 gm; Sumbuluttib (Nardostachis jatamansi root), 20 gm; Surma (Antimony), 20 gm; Zafran (Crocus sativa gynacium), 20 gm; Busud Ahmer (Corallium rubrum), 20 gm; Tobal Mis Sokhta (Blue dust, Copper sulphate roasted), 30 gm; Mameeran (Captis teeta root), 30 gm; Naushader (Ammonium chloride), 30 gm; Haldi (Curcuma longa root), 30 gm; Post Haleela Zard (Terminelia chebula half-ripe fruit), 40 gm; Marvareed (Mytilus margaritiferus pearl), 40 gm; Sabr (Aloe vera dried leaf juice), 50 gm; Usara Mameesa (Glaucium corniculatum extract), 50 gm; Yaqoot (Ruby), 50 gm; Feeroza (Ruby), 50 gm; Kafe Darya (Cuttle fish bone), 100 gm; Aqleemiae Tila (Gold dust), 100 gm; Aqleemiae Nuqra (Silver dust), 100 gm; Arq Gulab (), 1 litre","Make powder of all the drugs withArq Gulab in Kharal (mortar) till Arq Gulab
						is dried and only dry powder is left.",use with eye stick two times a day
Ral,,,,Sabun (Soap),"Sabun (Soap), 60 gm; Tootia (Copper sulphate), 3 gm; Ral (Pinus longifolia latex), 3 gm","Make pieces of soap in iron pan and keep on low heat. When it starts to
						melt, add powder of Tootia (Copper sulphate), stir with iron spoon. When it
						turns liquid, add Ral (Pinus longifolia latex) and Stir with iron spoon
						thoroughly. Now increase temperature of heat. When Soap is to be turned
						black, Stop the heat and let it cool and store in suitable container.",Use with eye stick by desolating in water
Zafran,,,,"Tobal Nihas Muharraq (Blue dust, Copper sulphate roasted)","Tobal Nihas Muharraq (Blue dust, Copper sulphate roasted), 15 gm; Shadnaj Maghsool (A certain type of soft stone detoxified), 15 gm; Aqleemiae Nuqra (Silver dust), 2 gm; Zangar (Cupric sulphate), 1 gm; Sabr zard (Aloe vera dried leaf juice), 1 gm; Boora armani (Arminium bole), 1 gm; Filfil Siyah (Piper nigrum fruit), ½ gm; Filfil Daraz (Piper longum fruit), ½ gm; Zafran (Crocus sativa gynacium), ½ gm",Make micro-fine powder of all drugs.,Use with eye stick two times a day
Naushader,,,,"Tobal Mis (Blue dust, Copper sulphate)","Filfil Daraz (Piper longum fruit), 15 gm; Sabr zard (Aloe vera dried leaf juice), 15 gm; Sumbuluttib (Nardostachis jatamansi root), 15 gm; Qaranfal (Caryophyllus aromatica bud), 15 gm; Shadnaj (A certain type of soft stone), 15 gm; Tobal Mis (Blue dust, Copper sulphate), 15 gm; Aqleemiae Tila (Gold dust), 14 gm; Sazij Hindi (Cinnamomum obtusifolium leaf), 14 gm; Boora armani (Arminium bole), 14 gm; Filfil Siyah (Piper nigrum seed), 10 gm; Kafe Darya (Cuttle Fish Bone), 10 gm; Zanjabil (Zingiber officinalis rhizome), 7 gm; Habbunneel (Ipomoea hederacea fruit), 7 gm; Zafran (Crocus sativa gynacium), I3 ½ gm; Naushader (Ammonium chloride), 3 ½ gm",Make micro-fine powder of all drugs.,Use with eye stick two times a day
Water,,,,Abrak Safed Mehloob (White Talcum),"Abrak Safed Mehloob (White Talc treated with particular method), 100 gm; Luab Gheekwar (Aloe vera mucilag), as needed ; Shora Qalmi (Potassium nitrate), 150 gm; Water (), as needed ","Keep Abrak (Talcum) in clay pot. Pour Luab Gheekwar (Aloe vera mucilage) so
						the Abrak (Talcum) is fully dipped in. Seal with Gile Hikmat and keep it in
						heat of 10-12 kg dung cake. It will soften the leaf of Abrak (Talcum). Make
						solution of Shora (Potassium nitrate) in water. Dip leaf of Abrak (Talcum)
						in Shora solution and keep them in clay pot. Keep it in heat of 10-12 kg cow
						dung cake. Let it be cool. Take out material from clay pot and powder it.
						Now keep it in water and decant it. Repeat it at least three times so the
						salty taste of Shora is finished, use it.","125-250
						mg"
Dahi,,,,Abrak Siyah (Black Talcum),"Abrak Siyah Mehloob (Black Talcum treated with particular method), 10 gm; Dahi (Curd), 30 gm","Make powder of Abrak (Talc) with Dahi (Curd) in Kharal (Mortar) and make
						Tablet. Keep them in clay pot and give heat of 2 kg dung cake.","125-250
						mg"
Shingarf,,,,Faulad (Iron),"Burada Faulad (Iron Powder), 50 gm; Para (Mercury), 3 gm; Luab Gheekwar (Aloe vera mucilage), as needed ; Hartal Tabqi (Red Arsenic), 3 gm; Sheer Mudar (Calotropis procera latex), 48 gm; Shingarf (Compound of Mercury and Sulphur), 3 gm","Make powder of Burada Faulad (Iron Powder), Para (Mercury), with Luab
						Gheekwar (Aloe vera mucilage) in Kharal (Mortar) and give heat of 2 kg Uplas
						(Dung cakes). Repeat it four times and add 3 gm Para (Mercury) each time.
						Now add powder of Hartal Tabqi (Red Arsenic) made in 3 gm Sheer Mudar
						(Calotropis procera latex) and Sammulfar (Arsenic) in Sheer Mudar
						(Calotropis procera latex) give heat four times, Now add powder of Shingarf
						(Compound of Mercury and Sulphur) made in Sheer Mudar. (Calotropis procera
						latex) and give four heat. These are total 16 heats.","125-250
						mg with suitable carrier"
Dung cake,,,,Godanti (Arsenic ore),"Godanti (Arsenic ore), 50 gm; Asgand (Wiithania somnifera Dunal root), 50 gm; Sheera Gheekwar (Aloe vera leaf ground with water), as needed ; Dung cake (), 20 kg","Keep Asgand (Wiithania somnifera Dunal) in a clay pot and keep Godanti in
						center of it pour a little Sheera Gheekwar (Aloe vera leaf ground with
						water), seal it with Gile Hikmat and give heat of dung cake, take it out
						when cool.","125-250
						mg with suitable carrier"
Aab Turb,,,,Hajralyahud (Lapislazuli),"Hajralyahud (Lapislazuli), 20 gm; Shora Qalmi (Potassium nitrate), 200 gm; Aab Turb (Rafanus sativa herb juice), as needed ","Make powder of Hajralyahud and Shora Qalmi (Potassium nitrate) 50gm in Aab
						Turb (Rafanus sativa herb juice) for three hour in Kharal (Mortar), make
						tablets and dry them. Keep them in clay pot and seal with Gile Hikmat. Now
						give them heat of 10 kg dung cake. Now take prepared matter and add 50gm
						Shora (Potassium nitrate), give heat of 10 kg dung cake, repeat it four
						times. Each time add 50gm Shora qalmi (Potassium nitrate). Powder it and
						preserve for use.","500
						mg with suitable carrier"
Misri,,,,Marjan (Corallium rubrum),"Marjan (Corallium rubrum), 50 gm; Misri (Crystalline sugar), 100 gm","Keep pieces of Marjan (Corallium rubrum) and keep them in clay pot, add
						powder of Misri (Crystalline sugar) in such a way that Marjan (Corallium
						rubrum) is in between the powder. Seal it with Gile Hikmat and give heat of
						10kg dung cake. Take it out when cool. .","60-250
						mg with suitable carrier"
Leemun,,,,Nuqra (Silver),"Nuqra (Silver), 10 gm; Hartal (Arsenic or), 140 gm; Leemun (Citrus lemonum fruit), 14 in number ","Make
						round leaf of Silver. Make powder of Hartal (Arsenic ore) 10gm in Juice of
					one Leemun (Citrus lemonum fruit) and paste it on both side of the Silver leaf.
					Let it be dry. Now keep it in clay pot. Seal with Gile Hikmat and give heat of ½
					kg of dung cake. Repeat it 14 times and each time add 10gm of Hartal (Arsenic
					ore) paste in Leemun (Citrus lemonum fruit juice). Make powder and preserve it.","60-125
						mg"
Sheer Mudar,,,,Post Bezae Murgh (Hen Eggshell),"Post Bezae Murgh Musaffa (Hen Eggshell cleaned),  ; Sheer Mudar (Calotropis procera latex), as needed ","Make powder of Post Bezae Murgh (Hen Eggshell) with Sheer Mudar (Calotropis
						procera latex) in Kharal (Mortar) for twelve hours and make tablets. Let
						them dry. Keep them in clay pot, seal it with Gile Hikmat and give heat of
						15 kg dung cake. Repeat it nine times (powdering and Heating).","125- 250
						mg with suitable carrier."
Dung cakes,,,,Seemab (Mercury),"Para Musaffa (Mercury detoxified),  ; Qalai Musaffa (Zinc detoxified),  ; Safoof Meda lakri (Litsea chinensis bark powde), 180 gm; Safoof Lodh Pathani (Symplocos peniculata root powder), 180 gm; Dung cakes (), 4 in numbers ; Dung cakes (), 10 kg","Take Qalai Musaffa (Zinc detoxified) in a spoon. Give heat. When it is
						melted, add Para Musaffa (Mercury detoxified) in it. Take off from heat.
						Pour it on clean floor. It becomes unshaped mass. Let it cool. Make small
						pieces of it. Take the powder of Meda lakri (Litsea chinensis bark) and Lodh
						Pathani (Symplocos peniculata root). Divide this powder in four parts. Take
						four dung cakes. Spread one part of powder on two cakes. Keep ½ of Para
						(Mercury) and Qalai (Zinc) on each dung cake. Spread rest of two parts of
						powder on material kept on dung cake. Cover it with other dung cake and
						tight it with thread. Arrange 10 kg dung cake in particular manner and keep
						drug containing dung cake in between of these dung cakes. Set them fire.
						When it become cool; take out the drug material from ash of dung cake.
						Kushta of Para (Mercury) will be in white in colour. Qalai (Zinc) will be in
						crude form. Sieve the Kushta from Qalai (Zinc). Keep it in airtight
						container.","30
						mg with 10
						gm butter or one litre milk"
Sadaf,,,,Muzmin (Chronic Fever).Sadaf (Turbinella rapa shell),"Sadaf (Turbinella rapa shell), as needed ","Keep Sadaf (Turbinella rapa shell) in clay pot seal it with Gile Hikmat and
						give heat of 10kg dung cake. Powder it and preserve for use.","500mg-1
						gm with suitable carrier"
Phitkri Biryan,,,,Sammulfar (Arsenic),"Sammulfar (Arsenic), 10 gm; Phitkri Biryan (Alum roasted), 20 gm","Keep Sammulfar (Arsenic) between the Phitkri (Alum) in a clay pot. Seal the
						pot with Gile Hikmat and give heat of 5 kg dung cake. Make powder when it is
						ready.","15
						mg with suitable carrier"
Dana Heel Khurd,,,,Sang Jarahat (Soapstone),"Sang Jarahat (Soapstone), 25 gm; Roghan Kunjud (Sesamum indicum oil),  ; Berg Peepal (Ficus religiosa leaf), 7 ; Dana Heel Khurd (Elettaria cardamomum seed), ¼th ","Dip Sang Jarahat in Roghan Kunjud (Sesamum indicum oil) for three days, Wrap
						them in Peepal Leaves and give heat of 2 kg dung cake, after cooling take it
						out and add Dana Heel Khurd (Elettaria cardamomum seed) and make powder.","125
						mg -500
						mg"
Arq Gulab,,,,Tila (Gold),"Burada Tila (Gold powder), 10 gm; Arq Gulab (), 2 ","Make powder of Tila (Gold) with Arq Gulab. When Aqua is dried, make tablet
						of powder, keep it in clay pot and give heat of 7 kg of dung cake. Give 15
						heat by repeating the process. Make powder and preserve it.","60-125
						mg"
Uplas,,,,Zeher mohra (Serpentine),"Zeher mohra (Serpentine), 84 gm; Arq Gulab (), 72 gm; Uplas (Dung cakes), 5 kg","Make powder of Zeher mohra (Serpentine) and sieve in cloth. Then make powder
						in Kharal (Mortar) with Dasta (Pestle) withArq Gulab. WhenArq Gulab is
						dried, make tablets of weighing 10 gm each. Dry the tablets. Keep them in
						clay pot and seal with Gile Hikmat. Give heat of 5 kg Uplas (Dung Cake) in
						open space. Cool it and make powder.","125
						mg"
Asl,,,,Maghz Sar kanjishk (Sparrow brain),"Salab Misri (Orchis latifolia root), 30 gm; Narjeel Daryaee (Lodoicea maldivica Pers fruit), 30 gm; Maghz Sar kanjishk (Sparrow brain), 30 gm; Khashkhash Safed (Papaver somniferum white seed), 30 gm; Maghz Pista (Pistacia vera fruit kernel), 15 gm; Maghz Badam (Prunus amygdalus fruit kernel), 15 gm; Maghz Funduq (Corylus avellana fruit kernel), 15 gm; Maghz Habbatul Khizra (), 15 gm; Maghz Akhrot (Juglans regia fruit kernel), 15 gm; Maghz Chilghoza (Pinus gerardiana fruit kernel), 15 gm; Maghz Habbul Zalam (Egyptian nut), 15 gm; Mahee Rubiyan (), 15 gm; Khoolanjan (Alpinia galanga root), 15 gm; Shaqaqul (Pustinaca secacul root), 15 gm; Behman surkh (Salvia heamatodes root), 15 gm; Behman safed (Centaurea behen root), 15 gm; Toodri Surkh (Cherianthus cheiri seed), 15 gm; Toodri Zard (Mathiola incana seed), 15 gm; Zanjabil (Zingiber officinalis rhizome), 15 gm; Kunjud Muqashsher (Sesamum indicum seed without seed coat), 15 gm; Dar Chini (Cinnamomum zeylanicum bark), 15 gm; Burada Qazeeb Gao (Powder of ox penis), 12 gm; Sooranjan (Colchicum leutium root), 12 gm; Bozidan (Chrysanthemum indicum root), 12 gm; Mako (Solanum nigrum fruit), 12 gm; Sumbuluttib (Nardostachis jatamansi root), 10 gm; Saad (Cyperus scariosus rhizome), 10 gm; Qaranfal (Caryophyllus aromatica bud), 10 gm; Kabab Chini (Piper cubeba fruit), 10 gm; Inderjau Sheereen (Wrightia tinctoria fruit), 10 gm; Daroonaj Aqrabi (Doronicum hookarii root), 10 gm; Zaranbad (Curcuma zedoria root), 10 gm; Habbul qilqil (Cardiospermum halicacabum fruit), 10 gm; Tukhme Gazer (Daucus carota seed), 10 gm; Tukhme Piyaz (Allium cepa seed), 10 gm; Tukhme Turb (Rafanus sativa seed), 10 gm; Tukhme Shalgham (Bressica rapa seed), 10 gm; Tukhme Ispast (), 10 gm; Tukhme Hilyun (Lepidium sativum seed), 10 gm; Bisbasa (Myristica fragrans fruit coat), 7 gm; Jaifal (Myristica fragrance fruit), 7 gm; Ushna (Usnea longissima), 7 gm; Filfil Daraz (Piper longum fruit), 7 gm; Maya Shatur Airabi (Rennet of Camel), 12 gm; Zafran (Crocus sativa gynacium), 12 gm; Mastagi (Pistacia lantiscus gum), 12 gm; Ood (Aquilaria agallocha fungus), 8 gm; Amber (Ambra grasea), 4 gm; Musk (Moschcus moschiferus secretion), 2 gm; Verq Tila (Gold Leaf), 30 in number ; Verq Nuqra (Silver Leaf), 50 in number ; Asl (Honey), three times of all drugs ","Make Powder of all drugs and make Qiwam (Basic Solution of Particular
						consistency) of Asl (Honey) and mix all drugs in solution","5
						gm"
Asl,,,,Maghz Chilghoza (Pinus gerardiana fruit kernel),"Maghz Badam (Prunus amygdalus fruit kernel),  ; Maghz Akhrot (Juglans regia fruit kernel),  ; Maghz Habbatul Khizra (),  ; Maghz Chilghoza (Pinus gerardiana fruit kernel),  ; Salab Misri (Orchis latifolia root), 30 gm; Maghz Habbuzzalam (Egyptian nut seed kernel),  ; Maghz Funduq (Corylus avellana fruit kernel),  ; Maghz Pista (Pistacia vera fruit kernel),  ; Narjeel Daryaee (Lodoicea maldivica Pers fruit kernel),  ; Habbul qilqil (Cardiospermum halicacabum fruit kernel),  ; Khashkhash Safed (Papaver somniferum white seed),  ; Toodri Surkh (Cherianthus cheiri seed),  ; Toodri Zard (Mathiola incana seed),  ; Kunjud Muqashsher (Sesamum indicum seed without seed coat),  ; Behman surkh (Salvia heamatodes root),  ; Behman safed (Centaurea behen root),  ; Zanjabil (Zingiber officinalis rhizome),  ; Filfil Daraz (Piper longum fruit),  ; Aqirqarha (Anacylus pyrethrum root),  ; Kabab Chini (Piper cubeba fruit),  ; Shaqaqul (Pustinaca secacul root),  ; Khoolanjan (Alpinia galanga root),  ; Tukhme Jarjir (Brusa sativa seed),  ; Tukhme Piyaz (Allium cepa seed),  ; Tukhme Shalgham (Bressica rapa seed),  ; Tukhme Ispast (),  ; Tukhme Hilyun (Lepidium sativum seed), Equal in weight ; Asl (Honey), three times of all drugs weight ","Make Powder of all drugs and make particular consistency of solution of Asl
						(Honey) and mix all drugs in solution.","5-7
						gm"
Asl,Its name is due to its ingredient Tukhme Katan (Linum usitatissimum seed),,,Tukhme Katan (Linum usitatissimum seed),"Tukhme Katan (Linum usitatissimum seed), ½ kg; Sugar (), 1 kg; Asl (Honey), 1 kg","Prepare Luab (Mucilage) of seed and mix sugar and Asl (Honey) and make Qiwam
						(Basic Solution of Particular consistency).","10-20
						gm"
Sugar,"Its name is due to its ingredient Post Khashkhash (Papaver somniferum seed
						coat)",,,Post Khashkhash (Papaver somniferum seed coat),"Post Khashkhash (Papaver somniferum seed coat), 20 gm; Unnab (Zizyfus sativa fruit), 20 gm; Nishasta (Starc), 15 gm; Kateera (Astragallus gummifera gum), 15 gm; Samagh Arabi (Acacia arabica gum), 15 gm; Maghz Badam (Prunus amygdalus fruit kernel), 15 gm; Maghz Tukhme Kadu Sheereen (Laginaria siceraria seed kernel), 15 gm; Sugar (), 1/2 kg","Make powder of Nishasta (Starch), Kateera (Astragallus gummifera gum),
						Samagh Arabi (Acacia arabica gum), Maghz Badam (Prunus amygdalus fruit
						kernel) and Maghz Tukhme Kadu Sheereen (Laginaria siceraria seed kernel)
						Soak Post Khashkhash (Papaver somniferum seed coat) and Unnab (Zizyfus
						sativa fruit) in water and boil in the morning till water remains half,
						shake well and filter. Add sugar in filtrate and make Qiwam (Basic Solution
						of Particular consistency). Add powder of the drugs.","20
						gmin 3-4 divided doses in a daY"
Roghan Badam Sheereen,Its name is due to its ingredient Khayarshamber (Cassia fistula pulp),,,Khayarshamber (Cassia fistula pulp),"Unnab (Zizyfus sativa fruit), 15 in number ; Sapistan (Cordia dichotama, C. latifolia
								fruit), 15 in number; Banafshah (Viola odorata flower), 9 gm; Khatmi (Althea officinalis seed), 5 gm; Senna (Cassia senna leaf), 15 gm; Water (), 750 ml; Khayarshamber (Cassia fistula pulp), 45 gm; Sheerkhisht (Fraxinus ornus exudate), 15 gm; Khameera Banafshah (), 30 gm; Turanjabeen (Tamarix indica gum), 60 gm; Sugar (), 250 gm; Roghan Badam Sheereen (Prunus amygdalus oil), 5 ml","Soak Unnab (Zizyfus sativa fruit), Sapistan (Cordia dichotama, C. latifolia
						fruit), Banafshah (Viola odorata), Khatmi (Althea officinalis seed) and
						Senna (Cassia senna leaf) in water at night. In the morning boil it till
						remains half. Mesh it well and filter it. Mix Khayarshamber (Cassia fistula
						pulp), Sheerkhisht (Fraxinus ornus exudate), Khameera Banafshah, Turanjabeen
						(Tamarix indica gum) and filter again. Mix Sugar and keep it on low heat.
						Make Qiwam (Basic Solution of Particular consistency) and mix Roghan Badam
						Sheereen (Prunus amygdalus oil).","10-20
						gm"
Khashkhash Safed,Its name is due to its use in Nazla (Cold and cough),,,Khashkhash (Papaver somniferum seed),"Aslussoos Muqash-shar (Glycerrhiza glabra peeled root), 15 gm; Tukhme Khatmi (Althea officinalis seed), 20 gm; Behi Dana (Cydonia quincy seed), 20 gm; Maghz Behi Dana (Cydonia quincy seed kernel), 15 gm; Samagh Arabi (Acacia arabica gum), 15 gm; Kateera (Astragallus gummifera gum), 15 gm; Khashkhash Siyah (Papaver somniferum black seed), 18 gm; Khashkhash Safed (Papaver somniferum white seed), 18 gm","Soak Aslussoos Muqash-shar (Glycerrhiza glabra peeled root), Tukhme Khatmi
						(Althea officinalis seed), Behi Dana (Cydonia quincy seed) in water at
						night. Boil it in the morning, rub well and filter.Add sugar in filtrate and
						prepare Qiwam (Basic Solution of Particular consistency). Mix powder of
						Maghz Behi Dana(Cydonia quincy seed kernel), SamaghArabi (Acacia arabica
						gum), Kateera (Astragallus gummifera gum), Khashkhash Siyah (Papaver
						somniferum black seed), Khashkhash Safed (Papaver somniferum white seed)","5-10
						gm"
Aab Tarbooz,"Its name is due to its ingredient Aab Tarbooz (Citrullus vulgaris fruit
						juice) and its action in cold and cough.",,,Aab Tarbooz (Citrullus vulgaris fruit juice),"Tukhme Khashkhash (Papaver somniferum seed), 15 gm; Samagh Arabi (Acacia arabica gum), 15 gm; Kateera (Astragallus gummifera gum), 15 gm; Nishasta (Starch), 15 gm; Maghz Tukhme Kadu (Laginaria siceraria seed kernel), 18 gm; Maghz Tukhme Khayaren (Cucumis sativa seed kernel), 18 gm; Maghz Tukhme Khurfa (Portulaca oleracea seed kernel), 18 gm; Maghz Tukhme Kahu (Lactuca sativa Linn seed kernel), 18 gm; Maghz Badam (Prunus amygdalus seed kernel), 30 gm; Roghan Badam (Prunus amygdalus oil), 60 gm; Turanjabeen (Tamarix indica gum), 150 gm; Aab Tarbooz (Citrullus vulgaris fruit juice), 100 ml","Make Sheera (ground with water) of all kernels, make solution of
						Turanjabeen(Tamarix indica gum) and filter it. MixAabTarbooz (Citrullus
						vulgaris fruit juice) and make Qiwam (Basic Solution of Particular
						consistency) and finally mix Roghan Badam(Prunus amygdalus oil) and other
						drugs.","5
						gm thrice a day"
